"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
11.2999999999998,4000411.44517406,0.000102861293514112,-293709.44599564,-1.89097680750594E-05,2.90353726825798E-05,0.0529829996866887,0.324574992167218,0.000396080089727813
11.3999999999998,4000415.7819487,0.000103945487174517,-293709.441703815,-1.892438028539E-05,2.98207160492421E-05,0.0532092077739965,0.330230194349913,0.000397380323744161
11.4999999999998,4000420.14034527,0.000105035086317207,-293709.438989843,-1.89336204398094E-05,3.06203141784892E-05,0.0534373967255999,0.335934918139998,0.000398699754227814
11.5999999999998,4000424.52071935,0.000106130179836628,-293709.437888732,-1.89373693481043E-05,3.14343058455098E-05,0.0536675729074947,0.341689322687367,0.000400038649939671
11.6999999999998,4000428.92343258,0.000107230858144902,-293709.438436337,-1.89355049393658E-05,3.22628302595457E-05,0.0538997429773877,0.347493574434692,0.000401397285607609
11.7999999999998,4000433.34885283,0.000108337213208021,-293709.440669382,-1.89279021794997E-05,3.31060270756572E-05,0.05413391388944,0.353347847236,0.000402775942076016
11.8999999999998,4000437.79735434,0.000109449338584033,-293709.444625487,-1.89144329836299E-05,3.39640364039817E-05,0.0543700928990924,0.359252322477309,0.00040417490645999
11.9999999999998,4000442.26931786,0.000110567329464351,-293709.450343194,-1.8894966128058E-05,3.48369988172137E-05,0.0546082875679766,0.365207189199415,0.000405594472304292
12.0999999999998,4000446.76513085,0.0001116912827126,-293709.457861996,-1.88693671577811E-05,3.57250553571605E-05,0.0548485057689184,0.371212644222959,0.000407034939747472
12.1999999999998,4000451.28518764,0.00011282129690926,-293709.46722236,-1.88374982911244E-05,3.66283475473788E-05,0.0550907556910352,0.37726889227588,0.000408496615690918
12.2999999999998,4000455.82988956,0.00011395747239118,-293709.478465761,-1.87992183209307E-05,3.75470173980063E-05,0.0553350458449351,0.383376146123377,0.000409979813973359
12.3999999999998,4000460.3996452,0.000115099911300431,-293709.49163471,-1.87543825144187E-05,3.84812074203779E-05,0.0555813850680204,0.389534626700511,0.000411484855551083
12.4999999999998,4000464.9948705,0.000116248717625833,-293709.506772784,-1.87028425069347E-05,3.94310606300615E-05,0.0558297825299024,0.39574456324756,0.000413012068683609
12.5999999999998,4000469.61598901,0.000117403997253351,-293709.523924657,-1.86444461935942E-05,4.03967205649507E-05,0.0560802477379307,0.402006193448267,0.000414561789125605
12.6999999999998,4000474.26343205,0.000118565858012731,-293709.543136137,-1.85790376171502E-05,4.13783312869762E-05,0.0563327905428445,0.408319763571114,0.000416134360324721
12.7999999999998,4000478.93763891,0.000119734409727679,-293709.564454196,-1.85064568523075E-05,4.23760373965606E-05,0.0565874211445499,0.414685528613746,0.00041773013362611
12.8999999999998,4000483.63905708,0.000120909764268706,-293709.587927008,-1.84265398851524E-05,4.33899840434105E-05,0.0568441500980283,0.421103752450709,0.000419349468483333
12.9999999999998,4000488.36814242,0.000122092035604204,-293709.613603984,-1.83391184881421E-05,4.44203169347882E-05,0.0571029883193845,0.427574707984613,0.000420992732676237
13.0999999999998,4000493.12535943,0.000123281339857062,-293709.641535808,-1.82440200945377E-05,4.54671823515808E-05,0.0573639470920364,0.43409867730091,0.000422660302536229
13.1999999999998,4000497.91118143,0.000124477795357958,-293709.671774482,-1.81410676612925E-05,4.65307271528919E-05,0.0576270380730561,0.440675951826401,0.000424352563178539
13.2999999999998,4000502.72609083,0.000125681522707533,-293709.70437336,-1.80300795348254E-05,4.76110987941476E-05,0.0578922732996662,0.447306832491654,0.000426069908742546
13.3999999999998,4000507.57057933,0.000126892644832566,-293709.739387192,-1.79108693081353E-05,4.87084453327089E-05,0.0581596651958992,0.453991629897481,0.000427812742639838
13.4999999999998,4000512.4451482,0.000128111287048815,-293709.776872168,-1.77832456706994E-05,4.98229154456294E-05,0.0584292265794261,0.460730664485652,0.000429581477810889
13.5999999999998,4000517.3503085,0.000129337577125632,-293709.816885965,-1.76470122594807E-05,5.09546584410814E-05,0.0587009706685605,0.467524266714012,0.000431376536990019
13.6999999999998,4000522.2865814,0.000130571645350797,-293709.859487786,-1.75019674998333E-05,5.210382426892E-05,0.0589749110894469,0.474372777236171,0.00043319835297944
13.7999999999998,4000527.25449839,0.000131813624597799,-293709.904738418,-1.73479044394131E-05,5.32705635353728E-05,0.0592510618834386,0.481276547085965,0.000435047368932768
13.8999999999997,4000532.25460158,0.000133063650395782,-293709.952700274,-1.71846105815332E-05,5.44550275173705E-05,0.0595294375146746,0.488235937866864,0.00043692403864791
13.9999999999997,4000537.287444,0.000134321861000597,-293710.003437447,-1.70118677071951E-05,5.56573681760912E-05,0.059810052877861,0.495251321946525,0.000438828826870286
14.0999999999997,4000542.3535899,0.000135588397474073,-293710.057015766,-1.6829451696565E-05,5.68777381702434E-05,0.060092923306268,0.502323082656699,0.000440762209606198
14.1999999999997,4000547.45361501,0.000136863403751963,-293710.113502847,-1.66371323349068E-05,5.81162908742056E-05,0.0603780645799471,0.509451614498679,0.00044272467444735
14.2999999999997,4000552.58810693,0.000138147026731206,-293710.172968155,-1.64346731219567E-05,5.93731803890166E-05,0.0606654929341811,0.516637323354528,0.000444716720906413
14.3999999999997,4000557.75766539,0.000139439416348308,-293710.235483059,-1.62218310659767E-05,6.064856156064E-05,0.0609552250681718,0.523880626704294,0.000446738860764597
14.4999999999997,4000562.96290265,0.000140740725662836,-293710.301120899,-1.59983564747002E-05,6.19425899979438E-05,0.0612472781539777,0.531181953849441,0.000448791618431105
14.5999999999997,4000568.20444379,0.000142051110947561,-293710.369957044,-1.57639927370612E-05,6.32554220831575E-05,0.0615416698457097,0.538541746142744,0.000450875531315673
14.6999999999997,4000573.48292711,0.000143370731777503,-293710.442068964,-1.55184760970428E-05,6.4587214996719E-05,0.061838418288995,0.545960457224876,0.000452991150213984
14.7999999999997,4000578.79900448,0.000144699751120969,-293710.517536295,-1.52615354186425E-05,6.59381267307595E-05,0.0621375421307187,0.553438553267968,0.000455139039707276
14.8999999999997,4000584.15334176,0.000146038335439247,-293710.596440914,-1.49928919426223E-05,6.73083161047903E-05,0.062439060529055,0.560976513226375,0.000457319778575837
14.9999999999997,4000589.54661913,0.000147386654783643,-293710.678867009,-1.47122590317128E-05,6.86979427908204E-05,0.0627429931637978,0.568574829094945,0.000459533960227778
15.0999999999997,4000594.9795316,0.000148744882901175,-293710.764901161,-1.44193419112648E-05,7.01071673278058E-05,0.0630493602470025,0.576234006175062,0.000461782193143286
15.1999999999997,4000600.45278935,0.000150113197337154,-293710.85463242,-1.41138373949135E-05,7.15361511448088E-05,0.0633581825339506,0.583954563348765,0.000464065101335028
15.2999999999997,4000605.9671182,0.000151491779550872,-293710.94815239,-1.37954336019153E-05,7.29850565785384E-05,0.0636694813344496,0.59173703336124,0.000466383324825507
15.3999999999997,4000611.52326009,0.000152880815022183,-293711.045555316,-1.34638096618289E-05,7.44540468949964E-05,0.0639832785244803,0.599581963112007,0.000468737520142088
15.4999999999997,4000617.12197351,0.000154280493378511,-293711.146938171,-1.31186354109802E-05,7.594328631377E-05,0.0642995965582052,0.607489913955131,0.000471128360830368
15.5999999999997,4000622.76403403,0.000155691008508096,-293711.252400753,-1.27595710747164E-05,7.7452940030921E-05,0.0646184584803519,0.615461462008797,0.000473556537986554
15.6999999999997,4000628.45023477,0.000157112558692996,-293711.362045778,-1.23862669361152E-05,7.898317423738E-05,0.0649398879389841,0.623497198474601,0.000476022760810168
15.7999999999997,4000634.18138695,0.000158545346736982,-293711.475978984,-1.1998362994925E-05,8.05341561470283E-05,0.0652639091986776,0.631597729966941,0.000478527757177303
15.8999999999997,4000639.95832041,0.00015998958010166,-293711.594309234,-1.15954886100722E-05,8.21060540236138E-05,0.0655905471541146,0.639763678852864,0.000481072274235812
15.9999999999997,4000645.78188418,0.000161445471045907,-293711.717148625,-1.11772621292916E-05,8.36990372015691E-05,0.0659198273441121,0.647995683602802,0.000483657079023124
16.0999999999997,4000651.6529471,0.000162913236774642,-293711.844612601,-1.07432905027682E-05,8.53132761128439E-05,0.0662517759661034,0.656294399152586,0.000486282959107921
16.1999999999997,4000657.57239835,0.000164393099587157,-293711.976820072,-1.02931688840124E-05,8.69489423223675E-05,0.0665864198910875,0.664660497277187,0.000488950723256489
16.2999999999997,4000663.54114813,0.000165885287032319,-293712.113893537,-9.82648020875221E-06,8.86062085440207E-05,0.066923786679065,0.673094666976625,0.000491661202125009
