"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
139,6636058.47784185,0.659014619460462,332631.865792187,-2.1324987341595,13.4711520886676,0.123204852975398,2.08012132438495,6.6933492242829E-05
140,6636073.80069313,0.659018450173282,332628.422268258,-2.13248701012794,13.5934409749346,0.123139257769409,2.07848144423523,6.57836790296133E-05
141,6636088.73396674,0.659022183491685,332625.069127099,-2.13247559381908,13.7156790924855,0.123074776285328,2.0768694071332,6.46637837765863E-05
142,6636103.2909364,0.6590258227341,332621.803199348,-2.1324644744423,13.8378671909164,0.123011379900685,2.07528449751713,6.35727646603446E-05
143,6636117.48430968,0.65902937107742,332618.621454384,-2.13245364167938,13.9600060031907,0.122949040976952,2.0737260244238,6.25096252174861E-05
144,6636131.32625688,0.65903283156422,332615.520993071,-2.13244308565972,14.0820962461287,0.122887732817265,2.07219332043164,6.1473411979307E-05
145,6636144.82843836,0.659036207109591,332612.499040923,-2.13243279693716,14.2041386208789,0.122827429626331,2.07068574065829,6.0463212249992E-05
146,6636158.0020301,0.659039500507526,332609.552941706,-2.13242276646811,14.3261338133729,0.122768106472368,2.06920266180919,5.9478152018202E-05
147,6636170.85774782,0.659042714436954,332606.680151397,-2.13241298559105,14.4480824947632,0.122709739250973,2.06774348127433,5.8517393993084E-05
148,6636183.40586977,0.659045851467441,332603.878232521,-2.13240344600718,14.5699853218467,0.122652304650807,2.06630761627017,5.75801357562494E-05
149,6636195.65625804,0.659048914064511,332601.144848809,-2.13239413976231,14.6918429374714,0.122595780120971,2.06489450302429,5.66656080218639E-05
150,6636207.61837896,0.659051904594741,332598.477760169,-2.13238505922969,14.8136559709304,0.122540143840004,2.06350359600009,5.57730729977315E-05
151,6636219.3013219,0.659054825330474,332595.874817952,-2.13237619709389,14.9354250383415,0.122485374686379,2.06213436715948,5.49018228406322E-05
152,6636230.71381745,0.659057678454362,332593.333960481,-2.1323675463356,15.0571507430132,0.122431452210444,2.06078630526111,5.40511781998495E-05
153,6636241.86425439,0.659060466063597,332590.853208841,-2.13235910021729,15.1788336757991,0.122378356607699,2.05945891519249,5.32204868430069E-05
154,6636252.76069561,0.659063190173903,332588.430662903,-2.13235085226967,15.300474415439,0.12232606869335,2.05815171733375,5.24091223589823E-05
155,6636263.41089351,0.659065852723376,332586.064497569,-2.13234279627888,15.4220735288896,0.122274569878065,2.05686424695163,5.16164829331171E-05
156,6636273.8223041,0.659068455576026,332583.752959224,-2.13233492627448,15.5436315716427,0.122223842144867,2.05559605362168,5.08419901898916E-05
157,6636284.00210081,0.659071000525202,332581.494362392,-2.13232723651797,15.665149088034,0.1221738680271,2.0543467006775,5.00850880989546E-05
158,6636293.95718718,0.659073489296795,332579.287086556,-2.13231972149206,15.7866266115409,0.122124630587411,2.05311576468528,4.93452419406485E-05
159,6636303.69420911,0.659075923552277,332577.129573171,-2.13231237589043,15.9080646650704,0.122076113397695,2.05190283494238,4.86219373271401E-05
160,6636313.2195664,0.659078304891601,332575.020322823,-2.13230519460807,16.0294637612376,0.122028300519948,2.0507075129987,4.79146792759744E-05
161,6636322.53942367,0.659080634855917,332572.95789254,-2.13229817273216,16.1508244026355,0.121981176487985,2.04952941219963,4.72229913326849E-05
162,6636331.65972069,0.659082914930174,332570.940893256,-2.1322913055334,16.2721470820953,0.121934726289975,2.04836815724938,4.65464147395565E-05
163,6636340.58618228,0.65908514654557,332568.967987392,-2.13228458845779,16.393432282939,0.121888935351749,2.04722338379371,4.58845076478219E-05
164,6636349.32432762,0.659087331081905,332567.037886577,-2.13227801711886,16.5146804792233,0.12184378952084,2.04609473802101,4.52368443706644E-05
165,6636357.87947908,0.659089469869769,332565.149349477,-2.13227158729028,16.6358921359763,0.121799275051232,2.04498187628081,4.46030146746076E-05
166,6636366.25677069,0.659091564192673,332563.30117974,-2.13226529489889,16.7570677094258,0.121755378588754,2.04388446471886,4.39826231070915E-05
167,6636374.4611561,0.659093615289025,332561.492224045,-2.13225913601802,16.8782076472218,0.121712087157115,2.04280217892788,4.33752883580298E-05
168,6636382.49741619,0.659095624354048,332559.721370245,-2.13225310686119,16.9993123886504,0.121669388144529,2.04173470361322,4.27806426536125E-05
169,6636390.37016633,0.659097592541583,332557.987545612,-2.13224720377612,17.1203823648425,0.121627269290912,2.04068173227279,4.21983311801462E-05
170,6636398.08386321,0.659099520965804,332556.28971516,-2.13224142323902,17.241417998975,0.121585718675613,2.03964296689032,4.16280115366602E-05
171,6636405.64281141,0.659101410702852,332554.626880054,-2.13223576184923,17.3624197064663,0.121544724705663,2.03861811764157,4.10693532142195E-05
172,6636413.05116962,0.659103262792405,332552.998076103,-2.13223021632397,17.483387895166,0.121504276104507,2.03760690261269,4.05220371008312E-05
173,6636420.31295659,0.659105078239149,332551.402372314,-2.13222478349354,17.6043229655382,0.121464361901205,2.03660904753012,3.99857550102587E-05
174,6636427.43205676,0.659106858014191,332549.838869527,-2.13221946029661,17.7252253108399,0.121424971420068,2.03562428550169,3.94602092334939E-05
175,6636434.41222569,0.659108603056422,332548.30669911,-2.13221424377578,17.8460953172936,0.121386094270723,2.03465235676808,3.89451121117282E-05
176,6636441.25709507,0.659110314273769,332546.80502172,-2.13220913107336,17.9669333642552,0.121347720338575,2.03369300846438,3.84401856295829E-05
177,6636447.97017781,0.659111992544452,332545.333026114,-2.13220411942736,18.0877398243764,0.121309839775651,2.03274599439127,3.79451610274258E-05
178,6636454.55487254,0.659113638718135,332543.889928029,-2.13219920616762,18.2085150637627,0.121272442991807,2.03181107479517,3.74597784319327E-05
179,6636461.01446813,0.659115253617032,332542.474969102,-2.13219438871218,18.3292594421267,0.121235520646287,2.03088801615717,3.69837865037897E-05
180,6636467.35214798,0.659116838036996,332541.08741585,-2.13218966456376,18.4499733129366,0.121199063639609,2.02997659099023,3.65169421015928E-05
180,6636467.35214798,0.659116838036996,332541.08741585,-2.13218966456376,18.4499733129366,0.121199063639609,2.02997659099023,0

"Tidssteg","Steg per frame","p1","p2"
1,1,"{Massa: 100000000, Position: {X: 1, Y: 0, Z: 0}, Hastighet: {X: 0, Y: -0.02, Z: 0}}","{Massa: 100000000, Position: {X: -1, Y: 0, Z: 0}, Hastighet: {X: 0, Y: 0.02, Z: 0}}"
