"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
5.20000000000122,4000001.76579652,4.41449130805793E-07,-293714.96697274,-1.12712772781798E-07,2.80068210948345E-08,0.0428263162334888,0.0706579058372192,0.000106491504357271
5.30000000000099,4000001.80099067,4.50247667371784E-07,-293714.966402697,-1.14653574079249E-07,2.96570670225919E-08,0.0429347913546221,0.0733697838655536,0.000108475121133378
5.40000000000075,4000001.83625792,4.59064479096938E-07,-293714.965836724,-1.16580521791754E-07,3.13710893123759E-08,0.0430452464367069,0.0761311609176722,0.000110455082084744
5.50000000000052,4000001.87159988,4.6789997076857E-07,-293714.965274922,-1.1849326619906E-07,3.31501179467098E-08,0.0431576778573472,0.0789419464336789,0.000112431420640269
5.60000000000029,4000001.90701817,4.76754543177194E-07,-293714.964717398,-1.20391446589707E-07,3.49953737215801E-08,0.0432720820321169,0.0818020508029225,0.000114404174769746
5.70000000000005,4000001.94251445,4.85628613100531E-07,-293714.964164256,-1.22274707914372E-07,3.69080973820475E-08,0.0433884554190934,0.0847113854773351,0.000116373386976502
5.79999999999982,4000001.97809038,4.94522594873814E-07,-293714.963615605,-1.2414267969163E-07,3.88895141780958E-08,0.0435067945233809,0.0876698630845223,0.000118339104287483
5.89999999999959,4000002.01374764,5.03436909493615E-07,-293714.963071553,-1.25994991662104E-07,4.09408627766563E-08,0.0436270959016222,0.090677397540555,0.00012030137824131
5.99999999999936,4000002.0494879,5.12371974181747E-07,-293714.962532214,-1.27831259133515E-07,4.30633703117281E-08,0.0437493561664973,0.0937339041624317,0.000122260264875065
6.09999999999912,4000002.08531289,5.21328222591322E-07,-293714.961997698,-1.29651102631634E-07,4.52582824237186E-08,0.0438735719912064,0.0968392997801599,0.000124215824709131
6.19999999999889,4000002.12122434,5.3030608526683E-07,-293714.961468123,-1.31454127805242E-07,4.75268333822074E-08,0.0439997401139362,0.0999935028484042,0.000126168122729774
6.29999999999866,4000002.15722397,5.39305992752759E-07,-293714.960943605,-1.33239934307916E-07,4.98702609592277E-08,0.0441278573423069,0.103196433557673,0.000128117228370771
6.39999999999842,4000002.19331355,5.48328387584007E-07,-293714.960424263,-1.3500811579803E-07,5.22898068975798E-08,0.0442579205578017,0.106448013945043,0.000130063215494761
6.49999999999819,4000002.22949487,5.57373717624543E-07,-293714.959910219,-1.36758263269421E-07,5.47867173475267E-08,0.0443899267201728,0.10974816800432,0.000132006162371086
6.59999999999796,4000002.26576972,5.66442429628111E-07,-293714.959401594,-1.38489955947563E-07,5.7362237931871E-08,0.0445238728718273,0.113096821795682,0.000133946151654518
6.69999999999772,4000002.30213989,5.75534972790948E-07,-293714.958898518,-1.40202761178543E-07,6.00176087035239E-08,0.04465975614219,0.116493903554749,0.000135883270362673
6.79999999999749,4000002.33860725,5.84651812518544E-07,-293714.958401115,-1.41896250305251E-07,6.27540860256047E-08,0.0447975737520423,0.119939343801057,0.000137817609852292
6.89999999999726,4000002.37517365,5.93793411551857E-07,-293714.957909515,-1.43569979460523E-07,6.5572919332419E-08,0.0449373230178374,0.123433075445936,0.000139749265795172
6.99999999999702,4000002.41184095,6.02960237294781E-07,-293714.957423853,-1.45223494785185E-07,6.84753559475182E-08,0.0450790013559908,0.126975033899771,0.000141678338153393
7.09999999999679,4000002.44861104,6.12152760703921E-07,-293714.956944263,-1.46856336646906E-07,7.14626516891064E-08,0.0452226062871453,0.130565157178633,0.000143604931154506
7.19999999999656,4000002.48548586,6.21371465392428E-07,-293714.956470882,-1.4846803997326E-07,7.45360638527451E-08,0.0453681354404122,0.134203386010305,0.00014552915326687
7.29999999999633,4000002.52246733,6.30616832753006E-07,-293714.956003849,-1.50058126258124E-07,7.76968515375322E-08,0.0455155865575857,0.137889663939642,0.000147451117173458
7.39999999999609,4000002.55955741,6.39889351727874E-07,-293714.955543309,-1.51626109778924E-07,8.09462730193171E-08,0.0456649574973333,0.141623937433333,0.000149370939747658
7.49999999999586,4000002.59675807,6.49189518586724E-07,-293714.955089406,-1.53171494821081E-07,8.42855877146684E-08,0.0458162462393612,0.145406155984031,0.000151288742027897
7.59999999999563,4000002.63407134,6.58517835816497E-07,-293714.954642289,-1.54693776344139E-07,8.77160606975619E-08,0.0459694508885542,0.149236272213855,0.000153204649192981
7.69999999999539,4000002.67149926,6.67874814119784E-07,-293714.954202108,-1.56192443423464E-07,9.1238963429057E-08,0.046124569679092,0.1531142419773,0.000155118790537784
7.79999999999516,4000002.70904385,6.77260961312598E-07,-293714.953769018,-1.57666970257431E-07,9.48555620101332E-08,0.0462816009785417,0.157040024463542,0.000157031299449682
7.89999999999493,4000002.74670721,6.86676802974517E-07,-293714.953343174,-1.59116824716143E-07,9.85671286791166E-08,0.0464405432919278,0.161013582298195,0.000158942313386146
7.99999999999469,4000002.78449145,6.96122861354453E-07,-293714.952924737,-1.6054145846045E-07,1.02374933081223E-07,0.0466013952657791,0.165034881644478,0.000160851973851316
8.09999999999446,4000002.82239867,7.05599668249235E-07,-293714.952513872,-1.61940315490661E-07,1.0628025008936E-07,0.046764155692155,0.169103892303876,0.000162760426375905
8.19999999999423,4000002.86043107,7.15107768556322E-07,-293714.952110743,-1.63312834366991E-07,1.10284364225809E-07,0.0469288235126513,0.173220587816283,0.000164667820496303
